Rang,Spanisch (M. Singular),Deutsch,Wortart
1,otro,andere/r/s,Adjektiv
2,nuevo,neu,Adjektiv
3,mismo,"gleich, selbe/r/s",Adjektiv
4,gran / grande,groß,Adjektiv
5,propio,"eigen, selbst",Adjektiv
6,social,sozial,Adjektiv
7,general,allgemein,Adjektiv
8,nacional,national,Adjektiv
9,mayor,"größer, älter",Adjektiv
10,último,letzte/r/s,Adjektiv
11,importante,wichtig,Adjektiv
12,posible,möglich,Adjektiv
13,público,öffentlich,Adjektiv
14,mejor,besser,Adjektiv
15,pequeño,klein,Adjektiv
16,bueno,gut,Adjektiv
17,claro,klar,Adjektiv
18,cierto,"sicher, gewiss",Adjektiv
19,único,"einzig, einmalig",Adjektiv
20,actual,"aktuell, gegenwärtig",Adjektiv
21,común,"gemeinsam, gewöhnlich",Adjektiv
22,fácil,"einfach, leicht",Adjektiv
23,principal,hauptsächlich,Adjektiv
24,difícil,schwierig,Adjektiv
25,político,politisch,Adjektiv
26,antiguo,"alt (Sachen), antik",Adjektiv
27,necesario,notwendig,Adjektiv
28,personal,persönlich,Adjektiv
29,perfecto,perfekt,Adjektiv
30,diferente,unterschiedlich,Adjektiv
31,simple,"simpel, einfach",Adjektiv
32,malo,"schlecht, böse",Adjektiv
33,alto,"hoch, laut",Adjektiv
34,bajo,"niedrig, leise",Adjektiv
35,fuerte,stark,Adjektiv
36,libre,frei,Adjektiv
37,real,"echt, königlich",Adjektiv
38,serio,ernst,Adjektiv
39,privado,privat,Adjektiv
40,económico,wirtschaftlich,Adjektiv
41,militar,militärisch,Adjektiv
42,rápido,schnell,Adjektiv
43,lento,langsam,Adjektiv
44,central,zentral,Adjektiv
45,cultural,kulturell,Adjektiv
46,correcto,"richtig, korrekt",Adjektiv
47,formal,formell,Adjektiv
48,final,endgültig,Adjektiv
49,capaz,fähig,Adjektiv
50,conocido,bekannt,Adjektiv
51,científico,wissenschaftlich,Adjektiv
52,natural,natürlich,Adjektiv
53,humano,menschlich,Adjektiv
54,joven,jung,Adjektiv
55,viejo,alt (Personen),Adjektiv
56,anterior,vorherig,Adjektiv
57,anterior,vorherig,Adjektiv
58,interior,"innen, innerlich",Adjektiv
59,externo,"extern, äußerlich",Adjektiv
60,legal,legal,Adjektiv
61,suficiente,ausreichend,Adjektiv
62,especial,speziell,Adjektiv
63,total,"gesamt, total",Adjektiv
64,básico,"grundlegend, Basis-",Adjektiv
65,directo,direkt,Adjektiv
66,dulce,süß,Adjektiv
67,amargo,bitter,Adjektiv
68,cercano,"nah, nahestehend",Adjektiv
69,abierto,offen,Adjektiv
70,cerrado,geschlossen,Adjektiv
71,rojo,rot,Adjektiv
72,blanco,weiß,Adjektiv
73,negro,schwarz,Adjektiv
74,azul,blau,Adjektiv
75,verde,grün,Adjektiv
76,pobre,arm,Adjektiv
77,rico,"reich, lecker",Adjektiv
78,local,lokal,Adjektiv
79,técnico,technisch,Adjektiv
80,completo,"komplett, vollständig",Adjektiv
81,próximo,"nächst, kommend",Adjektiv
82,internacional,international,Adjektiv
83,físico,"physisch, körperlich",Adjektiv
84,natural,natürlich,Adjektiv
85,socialista,sozialistisch,Adjektiv
86,religioso,religiös,Adjektiv
87,positivo,positiv,Adjektiv
88,negativo,negativ,Adjektiv
89,curioso,neugierig,Adjektiv
90,grave,"ernst, schwerwiegend",Adjektiv
91,simple,einfach,Adjektiv
92,doble,doppelt,Adjektiv
93,siguiente,folgend,Adjektiv
94,conocido,bekannt,Adjektiv
95,sano,gesund,Adjektiv
96,enfermo,krank,Adjektiv
97,valiente,mutig,Adjektiv
98,famoso,berühmt,Adjektiv
99,largo,lang,Adjektiv
100,corto,kurz,Adjektiv