Rang,Spanisch (mit Artikel),Deutsch,Wortart
1,el tiempo,"die Zeit, das Wetter",Substantiv (m)
2,el año,das Jahr,Substantiv (m)
3,la persona,"die Person, der Mensch",Substantiv (f)
4,el día,der Tag,Substantiv (m)
5,la vez,"das Mal, die Gelegenheit",Substantiv (f)
6,la forma,"die Form, die Art und Weise",Substantiv (f)
7,el hombre,der Mann,Substantiv (m)
8,el mundo,die Welt,Substantiv (m)
9,la mujer,die Frau,Substantiv (f)
10,la vida,das Leben,Substantiv (f)
11,el caso,"der Fall, die Angelegenheit",Substantiv (m)
12,el país,das Land,Substantiv (m)
13,el lugar,"der Ort, der Platz",Substantiv (m)
14,la cosa,"die Sache, das Ding",Substantiv (f)
15,el gobierno,die Regierung,Substantiv (m)
16,la razón,"der Grund, die Vernunft",Substantiv (f)
17,el momento,der Moment,Substantiv (m)
18,el niño/la niña,das Kind (Junge/Mädchen),Substantiv (m/f)
19,la palabra,das Wort,Substantiv (f)
20,el problema,das Problem,Substantiv (m)
21,el estado,"der Staat, der Zustand",Substantiv (m)
22,el grupo,die Gruppe,Substantiv (m)
23,el hecho,die Tatsache,Substantiv (m)
24,la mano,die Hand,Substantiv (f)
25,la ciudad,die Stadt,Substantiv (f)
26,el derecho,das Recht,Substantiv (m)
27,la guerra,der Krieg,Substantiv (f)
28,el fin,"das Ende, der Zweck",Substantiv (m)
29,la historia,die Geschichte,Substantiv (f)
30,el punto,der Punkt,Substantiv (m)
31,el nombre,der Name,Substantiv (m)
32,la familia,die Familie,Substantiv (f)
33,el tipo,"der Typ, die Art",Substantiv (m)
34,la semana,die Woche,Substantiv (f)
35,el principio,"der Anfang, das Prinzip",Substantiv (m)
36,la fuerza,"die Kraft, die Stärke",Substantiv (f)
37,la opinión,die Meinung,Substantiv (f)
38,la ley,das Gesetz,Substantiv (f)
39,el sentido,"der Sinn, die Bedeutung",Substantiv (m)
40,el servicio,"der Service, der Dienst",Substantiv (m)
41,la comunidad,die Gemeinschaft,Substantiv (f)
42,el nivel,"das Niveau, das Level",Substantiv (m)
43,el objetivo,"das Ziel, das Objektiv",Substantiv (m)
44,la atención,die Aufmerksamkeit,Substantiv (f)
45,la hora,"die Stunde, die Uhrzeit",Substantiv (f)
46,el interés,das Interesse,Substantiv (m)
47,la luz,das Licht,Substantiv (f)
48,el mes,der Monat,Substantiv (m)
49,la posibilidad,die Möglichkeit,Substantiv (f)
50,el resultado,das Ergebnis,Substantiv (m)
51,el sistema,das System,Substantiv (m)
52,el trabajo,die Arbeit,Substantiv (m)
53,la parte,"der Teil, die Seite",Substantiv (f)
54,el cambio,"der Wechsel, die Veränderung",Substantiv (m)
55,la gente,"die Leute, das Volk",Substantiv (f)
56,el control,die Kontrolle,Substantiv (m)
57,el cuerpo,der Körper,Substantiv (m)
58,la línea,die Linie,Substantiv (f)
59,la medida,"das Maß, die Maßnahme",Substantiv (f)
60,la situación,die Situation,Substantiv (f)
61,el papel,"das Papier, die Rolle",Substantiv (m)
62,la seguridad,die Sicherheit,Substantiv (f)
63,la dificultad,die Schwierigkeit,Substantiv (f)
64,el total,die Gesamtsumme,Substantiv (m)
65,la situación,die Situation,Substantiv (f)
66,la información,die Information,Substantiv (f)
67,el presidente,der Präsident,Substantiv (m)
68,el desarrollo,die Entwicklung,Substantiv (m)
69,la producción,die Produktion,Substantiv (f)
70,el conjunto,"die Gesamtheit, die Menge",Substantiv (m)
71,el estudio,"das Studium, die Studie",Substantiv (m)
72,la política,die Politik,Substantiv (f)
73,el aspecto,der Aspekt,Substantiv (m)
74,la relación,die Beziehung,Substantiv (f)
75,el sector,"der Sektor, die Branche",Substantiv (m)
76,la empresa,das Unternehmen,Substantiv (f)
77,el equipo,"das Team, die Ausrüstung",Substantiv (m)
78,el movimiento,die Bewegung,Substantiv (m)
79,el centro,das Zentrum,Substantiv (m)
80,la dirección,"die Richtung, die Adresse",Substantiv (f)
81,el proyecto,das Projekt,Substantiv (m)
82,el documento,das Dokument,Substantiv (m)
83,la cuenta,"die Rechnung, das Konto",Substantiv (f)
84,la noche,die Nacht,Substantiv (f)
85,el programa,das Programm,Substantiv (m)
86,el proceso,der Prozess,Substantiv (m)
87,el número,"die Nummer, die Zahl",Substantiv (m)
88,la base,"die Basis, der Sockel",Substantiv (f)
89,el medio,"das Mittel, die Mitte",Substantiv (m)
90,el dato,"die Angabe, die Daten",Substantiv (m)
91,el valor,der Wert,Substantiv (m)
92,el papel,"das Papier, die Rolle",Substantiv (m)
93,la etapa,"die Etappe, die Phase",Substantiv (f)
94,el modelo,das Modell,Substantiv (m)
95,la acción,"die Aktion, die Handlung",Substantiv (f)
96,el orden,"die Ordnung, der Befehl",Substantiv (m)
97,la causa,die Ursache,Substantiv (f)
98,el sector,"der Sektor, der Bereich",Substantiv (m)
99,la voz,die Stimme,Substantiv (f)
100,la imagen,"das Bild, das Image",Substantiv (f)